property_url,text,full_street_line,city,state,zip_code,Latitude,Longitude,neighborhoods,county,primary_photo,nearby_crimes,rent_price,id,crime_score,beds,bath,sqft,url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking,Area,Morning Rate,Afternoon Rate,Evening Rate,parking_cost
https://www.realtor.com/realestateandhomes-detail/M9636899857?listing_status=rental,"Seattle/Maple Leaf. Amazing location tucked away in the lovely Maple Leaf neighborhood close to Maple Leaf reservoir park. Down the street from restaurants, bars and coffee shops as well as transit. Located on a quiet residential street this DADU unit (remodeled in 2021) has an open floorplan layout which includes a light filled vaulted ceiling dining area and living room. Large bedroom on main floor with walk in closet, full bath and washer and dryer. Outdoor patio area right off primary bed. AC throughout unit! Plenty of street parking. No Pets allowed. Renters ins. Req. at MI. Separate Garage is for owner use only.",9015 5th Ave NE,Seattle,WA,98115,47.694607,-122.323517,"Northgate, Maple Leaf",King,http://ap.rdcpix.com/7a59ec914b3e7b0082b4f11492cb0253l-m4079175735od-w480_h360_x2.webp?w=1080&q=75,120,2575.0,M9636899857,3.590664273,1.0,1.0,808,https://www.realtor.com/realestateandhomes-detail/M9636899857?listing_status=rental,47.694607,-122.323517,15,0,4,7,20,3,13,Roosevelt,1.0,2.0,1.5,21.0
https://www.realtor.com/realestateandhomes-detail/M2467445663?listing_status=rental,"Welcome to your new home at 4716 11th Ave NE Upper Unit , Seattle, WA 98105. This inviting 3-bedroom, 1-bathroom offers 900 square feet of comfortable living space in the heart of the vibrant University District. Key Features: Spacious Living: Enjoy a well-designed layout that includes a cozy living room, a kitchen with eating space, and three comfortable bedrooms. Convenient Amenities: The unit comes equipped with essential appliances and features to make your daily life easier. Prime Location: Situated just a short walk from the University of Washington, this apartment is perfect for students and professionals alike. You'll also find an array of shops, restaurants, and entertainment options nearby. Excellent Transit Access: With a Walk Score of 99 and a Transit Score of 82, getting around the city is a breeze. The U District Station is just 0.3 miles away, providing easy access to public transportation. Rent: $2195/month Term: 12 months Lease Option Move-In Costs: - First Month's Rent (either full or pro-rated til the end of the move-in month) - Last Month's Rent Deposit - Security Deposit equivalent to One month's rent Pet Policy: - No pets Features: - Laundry: In the unit - Parking: Backyard Parking - Secured Lockable Mailbox - Air Conditioning: Not available Tenant's Responsibilities: - Utilities (Electricity, Water & Sewer, Garbage) - Landscaping Fees and Signing Requirement: - The $49 application fee is non-refundable and charged by a third party, TransUnion. - Tenant set-up fee at lease signing: $79 per tenant over 18 and co-signer. - Leases must be signed within 24 hours, or showings will resume. Don't miss the opportunity to make this charming place your next home! Presented by TCM Property Management",4716 11th Ave NE Unit Upper,Seattle,WA,98105,47.66365,-122.316027,"University District, Pettits University, Northeast Seattle",King,http://ap.rdcpix.com/28c0e90f92c9b7739eec604f484d918dl-m3228157644od-w480_h360_x2.webp?w=1080&q=75,1528,2195.0,M2467445663,45.72112507,3.0,1.0,900,https://www.realtor.com/realestateandhomes-detail/M2467445663?listing_status=rental,47.66365,-122.316027,20,3,20,17,20,5,20,University District - Core,1.0,5.5,3.0,42.0
https://www.realtor.com/realestateandhomes-detail/M9773242690?listing_status=rental,,8309 5th Ave NE,Seattle,WA,98115,47.68937,-122.323365,"Roosevelt, Northeast Seattle",King,http://ar.rdcpix.com/faac59ff2712b4a735b0e607ca4c9e24c-f3406865525od-w480_h360_x2.webp?w=1080&q=75,110,2995.0,M9773242690,3.29144225,2.0,2.0,950,https://www.realtor.com/realestateandhomes-detail/M9773242690?listing_status=rental,47.68937,-122.323365,20,1,9,6,20,0,3,Roosevelt,1.0,2.0,1.5,21.0
https://www.realtor.com/realestateandhomes-detail/M2085973439?listing_status=rental,"Welcome to your new home at 750 N 143rd St in Seattle! This 1 bed/1 bath condo with balcony offers modern amenities such as dishwasher, washer/dryer, and fireplace. Fresh paint througout and new carpets in both the living room and bedroom. Enjoy assigned parking, fitness center, and security cameras. Secure access to the building and security gates on the premises. Pets allowed. Close to bus lines and new Light Rail station. Don't miss out on this gem for $1795/month! Water, sewer, garbage and parking included in the monthly rent. To apply, visit TurboTenant and search for Property ID 1719020",750 N 143rd St Unit 122,Seattle,WA,98133,47.732809,-122.348558,"Bitter Lake, Northwest Seattle",King,http://ap.rdcpix.com/beddbc28298b01dbaaab1d841f7c8ad6l-m3385118967od-w480_h360_x2.webp?w=1080&q=75,384,1795.0,M2085973439,11.49012567,1.0,1.0,694,https://www.realtor.com/realestateandhomes-detail/M2085973439?listing_status=rental,47.732809,-122.348558,20,5,11,10,8,0,3,,1.0,4.0,3.5,49.0
https://www.realtor.com/realestateandhomes-detail/M2114970194?listing_status=rental,"Sweeping City, Sound and Mountain Views! This top floor corner unit lives like a luxurious penthouse and the neighborhood and building are so quiet! Experience the City, Space Needle and Puget Sound up close through this gorgeous and spacious 2 bedroom, 1.75 bath condo. Enjoy the views from the open concept living space with a chefs kitchen featuring a wood burning fireplace, private deck, luxury vinyl floors, stainless steel appliances, pull down blinds, W/D in unit and it is newly cleaned and ready for you. Private parking and storage included, too. A must see and tour for the views alone! Easy stairs, but no elevator in the building.",2324 W Newton St Apt 302,Seattle,WA,98199,47.637207,-122.387398,"Interbay, Magnolia",King,http://ap.rdcpix.com/37d09d400c49a0625a0f22e8711550e6l-m3874333699od-w480_h360_x2.webp?w=1080&q=75,57,2995.0,M2114970194,1.70556553,2.0,2.0,932,https://www.realtor.com/realestateandhomes-detail/M2114970194?listing_status=rental,47.637207,-122.387398,20,2,6,13,10,0,4,,1.0,4.0,3.5,49.0
https://www.realtor.com/realestateandhomes-detail/M9697840261?listing_status=rental,"For interested prospects, please provide a mobile number so we can easily get back to you with answers on your inquiry.Welcome to this beautifully renovated 3-bedroom, 1-bath unit, ready to be your new home with its modern upgrades and fresh new look.The kitchen has been completely updated with sleek cabinetry, stainless steel appliances, and plenty of storage, making meal prep a breeze. The bathroom features contemporary finishes, offering a touch of luxury to your daily routine.Brand-new flooring throughout adds a polished feel, while the tiled kitchen ensures durability and easy cleaning. The spacious living area is perfect for relaxation, and the large fenced yard provides a safe space for kids and pets. Enjoy peaceful mornings on your private balcony with a cup of coffee. Additional conveniences include air conditioning for hot summer days and an in-unit washer and dryer for added ease.Pet-Friendly: A non-refundable $300 pet fee applies for tenants bringing a dog.Located in a prime area, this property offers unparalleled convenience. Get fresh produce from Duane's Garden Patch just minutes away, or make a quick 5-minute drive to Safeway for all your grocery needs. Dining options abound with a variety of restaurants within 10 minutes. Outdoor enthusiasts will love being within walking distance of North SeaTac Park & Ball Fields, while golfers will appreciate the nearby Rainier Golf and Country Club. The property is also just minutes from SeaTac Airport and downtown Seattle, offering a perfect blend of city life and outdoor adventures.This lease has flexible terms of 6-12 months. Tenants are responsible for utilities, including water, electricity, garbage collection, and sewage. Smoking is strictly prohibited indoors to ensure a healthy living environment. Off-street parking is available, with optional paid on-site parking for an additional fee.Don't miss out on this incredible opportunity schedule a viewing today!This lease has a term of 6 to 12 months. Tenants are responsible for covering utilities, including water, electricity, garbage collection, and sewage. A non-refundable pet fee of $300 will be charged if a dog is brought onto the property. Smoking is strictly prohibited indoors to ensure a healthy living environment. The unit includes one reserved parking spot, with additional street parking conveniently available in front of the property.Pictures and amenity list are for marketing purposes only and represent our most recent assessment of the home. Renter is responsible for verifying contents and conditions prior to leasing. All properties have additional charges which may include an insurance component and benefits. These additional fees are based on location and benefit package.All Poplar residents are enrolled to the StreetCred program, a Resident Benefits Package (RBP) for $49.95/month which includes liability insurance, credit building to help boost the residents credit score with timely rent payments, up to $1M Identity Theft Protection, HVAC air filter delivery (for applicable properties), move-in concierge service making utility connection and home service setup a breeze during your move-in, our best-in-class resident rewards program, and much more! More details upon application.The Landlord requires Tenant to obtain liability coverage of at least $100, 000 in property damage and legal liability from an A-rated carrier and to maintain such coverage throughout the entire term of the lease agreement. Tenant is required to furnish Landlord evidence of the required insurance prior to occupancy, at the time of each lease renewal period, and upon request.To satisfy the insurance requirement, Tenant may either (1) be automatically enrolled into a policy that satisfies the coverage requirements as part of the Resident Benefits Package; or (2) obtain alternative liability coverage from an insurer of Tenants choice. If option (2) is selected and approved, the tenant will be enrolled in RBP for $39.00/month. The optio",12021 16th Ave S Unit B,Seattle,WA,98168,47.495052,-122.31308,Beverly Park,King,http://ap.rdcpix.com/961468f31be96ab2dcd7384c0a24334cl-m2777850232od-w480_h360_x2.webp?w=1080&q=75,0,2850.0,M9697840261,0.0,3.0,1.0,"1,050",https://www.realtor.com/realestateandhomes-detail/M9697840261?listing_status=rental,47.495052,-122.31308,6,0,5,3,5,0,0,,1.0,4.0,3.5,49.0
https://www.realtor.com/realestateandhomes-detail/M9742950121?listing_status=rental,"We offer custom pricing for any duration. Rates may vary upon exact move in and move out dates. The rate for this home starts at $2, 280 / mo. Please visit our website and enter your dates of stay to see up-to-date pricing for your specific booking. Price quoted is: (1) based on moving in the first day the unit becomes available, (2) applicable only if billed upfront; can be higher if billed in multiple payments, (3) exclusive of any taxes or utilities. Feel at home wherever you choose to live with Blueground. You'll love this spacious First Hill furnished one bedroom apartment with its modern decor, fully equipped kitchen, and exquisite living room with great views. Ideally located, you're close to all the best that Seattle has to offer! (ID #SEA451) Designed with you in mind As with any Blueground apartment, you'll find a thoughtfully designed space complete with beautiful furniture and a fully-equipped kitchen in this one bedroom property. And, thanks to our superior quality mattresses, luxury linens, and towels, you can relax knowing you'll always feel comfortably at home. When you're ready for some fun, you can take in the Seattle vibes or bring the entertainment to you with the premium wireless speaker or smart TV. Sleeping arrangements - Queen Bed, 63in/160cm Amenities Building amenities unique to this one bedroom apartment include an on-site: - Elevator - Swimming pool - Lounge - Parking - Pets allowed Arrival and ongoing support The entire apartment is yours to enjoy! You'll either be personally greeted by a Blueground team member or given self check-in instructions. Throughout your stay, you'll have access to our Client Experience team through the Blueground App. You can schedule additional cleanings, submit maintenance requests, and view our neighborhood recommendations with just a few taps. We'll share all details upon confirmation of your stay. Ideally Located This furnished apartment is located in First Hill, which is close to Downtown while still providing calm and privacy. There is a high concentration of high-quality hospitals here as well as impressive mansions. Along Madison Avenue, there are many dining and shopping opportunities. For culture lovers, the Frye Art Museum offers classic paintings while the Town Hall hosts concerts, book talks, and community forums. The First Hill Streetcar connects this neighborhood with Chinatown and Capitol Hill. Other things to note Building amenities may have an extra cost. This Blueground apartment has flexible lease options, allowing you to book it for one month, a year, or more. Pets are welcome, though weight limits and breed restrictions apply and may incur fees. Parking is offered based on availability and is subject to a fee. We take great pride in ensuring every photo displayed is shot in our own units with our actual furnishings. That said, we regularly refresh our decor and furniture arrangement, which may differ from what's pictured.",702 Spring St Apt 451,Seattle,WA,98104,47.608486,-122.329903,"Downtown Seattle, First Hill",King,http://ap.rdcpix.com/d35312960eca988b8a78e3c79e5ea8e9l-m3946572440od-w480_h360_x2.webp?w=1080&q=75,1785,2280.0,M9742950121,53.41113106,1.0,1.0,553,https://www.realtor.com/realestateandhomes-detail/M9742950121?listing_status=rental,47.608486,-122.329903,20,8,20,20,20,20,20,Chinatown/ID,1.0,5.0,5.5,77.0
https://www.realtor.com/realestateandhomes-detail/M9626886710?listing_status=rental,"Bright and south-facing, this 1-bedroom home offers stunning city and Elliott Bay views. The open layout includes a spacious living/dining area, a generously sized bedroom, a walk-through bath with dual access, and a private terrace perfect for relaxing or entertaining. High-end finishes include neutral quartz and marble countertops, white cabinetry, Bosch stainless steel appliances with gas cooking, a Thermador refrigerator, hardwood floors, carpet, and air conditioning. Residents enjoy 5-star amenities such as a 24-hour concierge, theater, pool/spa, fitness center, a 7th-floor park, and a 41st-floor lounge with a rooftop deck, game room, private entertainment room, and bar. Includes one parking space and storage unit.",588 Bell St Unit 1805S,Seattle,WA,98121,47.616657,-122.343018,"Downtown Seattle, Denny Triangle",King,http://ap.rdcpix.com/18d288a990526f6d100f485b011f3933l-m2293722259od-w480_h360_x2.webp?w=1080&q=75,1917,3200.0,M9626886710,57.36086176,1.0,1.0,773,https://www.realtor.com/realestateandhomes-detail/M9626886710?listing_status=rental,47.616657,-122.343018,20,6,20,20,17,8,20,Belltown - North,1.0,2.0,1.5,21.0
https://www.realtor.com/realestateandhomes-detail/M1960174317?listing_status=rental,"Charming 22 unit building on Capital Hill on Union St and 15th Ave. This building has easy access from outside/parking garage area. With a walking score of 98, this building is located just a few blocks away from Capitol Hill restaurants, bars, and central community. Downtown Seattle is only a mile away with easy access to I-90 and I-5.",1422 E Union St,Seattle,WA,98122,47.613126,-122.313167,"Minor, Central Area",King,http://ar.rdcpix.com/d8ebe5316e4e430ada8f012d4f663604c-f2519009119od-w480_h360_x2.webp?w=1080&q=75,1070,1595.0,M1960174317,32.01675643,1.0,1.0,650,https://www.realtor.com/realestateandhomes-detail/M1960174317?listing_status=rental,47.613126,-122.313167,20,7,20,20,20,20,20,12th Avenue,1.0,3.0,5.5,77.0
https://www.realtor.com/realestateandhomes-detail/M1393188562?listing_status=rental,Phone Extension:1,6522 48th Ave S,Seattle,WA,98118,47.543516,-122.272313,"Rainier Valley, Brighton, Brighton Beach Acre",King,http://ar.rdcpix.com/45ded5756848b9583658336e688ad636c-f2656441783od-w480_h360_x2.webp?w=1080&q=75,162,2895.0,M1393188562,4.847396768,1.0,1.5,"1,100",https://www.realtor.com/realestateandhomes-detail/M1393188562?listing_status=rental,47.543516,-122.272313,20,1,6,7,12,0,4,Columbia City,1.0,5.5,6.0,84.0
