url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking
https://www.realtor.com/realestateandhomes-detail/M9636899857?listing_status=rental,47.694607,-122.323517,15,0,4,7,20,3,13
https://www.realtor.com/realestateandhomes-detail/M2467445663?listing_status=rental,47.66365,-122.316027,20,3,20,17,20,5,20
https://www.realtor.com/realestateandhomes-detail/M9773242690?listing_status=rental,47.68937,-122.323365,20,1,9,6,20,0,3
https://www.realtor.com/realestateandhomes-detail/M2085973439?listing_status=rental,47.732809,-122.348558,20,5,11,10,8,0,3
https://www.realtor.com/realestateandhomes-detail/M2114970194?listing_status=rental,47.637207,-122.387398,20,2,6,13,10,0,4
https://www.realtor.com/realestateandhomes-detail/M9697840261?listing_status=rental,47.495052,-122.31308,6,0,5,3,5,0,0
https://www.realtor.com/realestateandhomes-detail/M9742950121?listing_status=rental,47.608486,-122.329903,20,8,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9626886710?listing_status=rental,47.616657,-122.343018,20,6,20,20,17,8,20
https://www.realtor.com/realestateandhomes-detail/M1960174317?listing_status=rental,47.613126,-122.313167,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1393188562?listing_status=rental,47.543516,-122.272313,20,1,6,7,12,0,4
https://www.realtor.com/realestateandhomes-detail/M2026249615?listing_status=rental,47.613539,-122.342212,20,7,20,20,20,10,20
https://www.realtor.com/realestateandhomes-detail/M9116095006?listing_status=rental,47.647717,-122.323166,20,2,14,20,20,2,20
https://www.realtor.com/realestateandhomes-detail/M9253654720?listing_status=rental,47.65202,-122.386238,20,0,6,8,11,0,7
https://www.realtor.com/realestateandhomes-detail/M1200287632?listing_status=rental,47.648177,-122.385449,20,0,6,8,11,0,7
https://www.realtor.com/realestateandhomes-detail/M9133897681?listing_status=rental,47.573711,-122.309189,20,1,7,13,11,1,2
https://www.realtor.com/realestateandhomes-detail/M2957969560?listing_status=rental,47.548089,-122.372355,14,0,1,20,14,0,0
https://www.realtor.com/realestateandhomes-detail/M9225790780?listing_status=rental,47.626621,-122.317711,20,1,20,20,20,5,20
https://www.realtor.com/realestateandhomes-detail/M1901828263?listing_status=rental,47.503755,-122.248173,6,1,0,10,4,0,2
https://www.realtor.com/realestateandhomes-detail/M2411498295?listing_status=rental,47.729921,-122.355988,20,2,7,10,7,0,3
https://www.realtor.com/realestateandhomes-detail/M9709987233?listing_status=rental,47.61209,-122.342966,20,6,20,20,20,11,20
https://www.realtor.com/realestateandhomes-detail/M2535442342?listing_status=rental,47.613552,-122.334043,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2676241144?listing_status=rental,47.584316,-122.385995,20,2,10,16,11,1,7
https://www.realtor.com/realestateandhomes-detail/M9534725423?listing_status=rental,47.613167,-122.321815,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2490151474?listing_status=rental,47.616906,-122.325226,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9064047141?listing_status=rental,47.620995,-122.324516,20,2,20,20,20,7,20
https://www.realtor.com/realestateandhomes-detail/M9195998511?listing_status=rental,47.614681,-122.302284,20,5,18,20,20,9,20
https://www.realtor.com/realestateandhomes-detail/M2537242511?listing_status=rental,47.631101,-122.362068,20,4,17,20,20,1,20
https://www.realtor.com/realestateandhomes-detail/M9359615825?listing_status=rental,47.627857,-122.346977,20,1,20,20,20,5,20
https://www.realtor.com/realestateandhomes-detail/M9457235401?listing_status=rental,47.668922,-122.312202,20,3,20,20,20,3,20
https://www.realtor.com/realestateandhomes-detail/M2713062034?listing_status=rental,47.6668,-122.37845,20,4,20,13,20,10,20
https://www.realtor.com/realestateandhomes-detail/M2796743275?listing_status=rental,47.638164,-122.342891,20,1,4,18,19,4,14
https://www.realtor.com/realestateandhomes-detail/M9395442473?listing_status=rental,47.526989,-122.323212,15,0,3,15,2,0,1
https://www.realtor.com/realestateandhomes-detail/M2983688838?listing_status=rental,47.622321,-122.322343,20,1,20,20,20,6,20
https://www.realtor.com/realestateandhomes-detail/M9860396135?listing_status=rental,47.521557,-122.359543,20,3,16,8,16,2,4
https://www.realtor.com/realestateandhomes-detail/M1343660382?listing_status=rental,47.631736,-122.347885,20,2,20,20,20,5,20
https://www.realtor.com/realestateandhomes-detail/M9198716641?listing_status=rental,47.667107,-122.279991,13,0,5,7,10,4,10
https://www.realtor.com/realestateandhomes-detail/M9770324190?listing_status=rental,47.665562,-122.354721,20,1,8,20,14,0,6
https://www.realtor.com/realestateandhomes-detail/M9852606970?listing_status=rental,47.713081,-122.312988,20,2,8,7,18,1,4
https://www.realtor.com/realestateandhomes-detail/M2657239914?listing_status=rental,47.590972,-122.313765,20,3,8,20,17,1,20
https://www.realtor.com/realestateandhomes-detail/M9705065936?listing_status=rental,47.606716,-122.327126,20,8,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9725468214?listing_status=rental,47.717965,-122.313137,18,1,4,7,15,1,0
https://www.realtor.com/realestateandhomes-detail/M1091045287?listing_status=rental,47.617828,-122.355461,20,3,20,20,7,4,20
https://www.realtor.com/realestateandhomes-detail/M2145145426?listing_status=rental,47.620692,-122.301602,20,4,20,20,20,3,19
https://www.realtor.com/realestateandhomes-detail/M9289577517?listing_status=rental,47.692005,-122.344063,20,2,11,7,18,0,9
https://www.realtor.com/realestateandhomes-detail/M1463393591?listing_status=rental,47.600219,-122.335349,20,5,20,20,20,19,20
https://www.realtor.com/realestateandhomes-detail/M9985019207?listing_status=rental,47.732628,-122.346718,20,5,11,9,10,0,4
https://www.realtor.com/realestateandhomes-detail/M9307332274?listing_status=rental,47.64801,-122.362885,20,2,12,13,20,4,20
https://www.realtor.com/realestateandhomes-detail/M1784044437?listing_status=rental,47.588102,-122.395195,14,0,3,11,5,1,2
https://www.realtor.com/realestateandhomes-detail/M9584627620?listing_status=rental,,,0,0,0,0,0,0,0
https://www.realtor.com/realestateandhomes-detail/M9561862979?listing_status=rental,47.612644,-122.329236,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2585729323?listing_status=rental,47.647839,-122.382425,20,0,6,8,10,0,9
https://www.realtor.com/realestateandhomes-detail/M9782682286?listing_status=rental,47.605377,-122.30455,20,4,20,20,20,16,16
https://www.realtor.com/realestateandhomes-detail/M1210881889?listing_status=rental,47.624122,-122.326294,20,0,20,20,11,4,20
https://www.realtor.com/realestateandhomes-detail/M2339526049?listing_status=rental,47.681431,-122.325783,20,2,20,12,20,2,14
https://www.realtor.com/realestateandhomes-detail/M9448096360?listing_status=rental,47.650543,-122.321091,20,0,17,20,17,9,20
https://www.realtor.com/realestateandhomes-detail/M9808395347?listing_status=rental,47.61198,-122.315048,20,6,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9323999264?listing_status=rental,47.630268,-122.359512,20,3,20,20,20,1,20
https://www.realtor.com/realestateandhomes-detail/M9728494396?listing_status=rental,,,0,0,0,0,0,0,0
https://www.realtor.com/realestateandhomes-detail/M9900094514?listing_status=rental,47.649639,-122.375763,20,0,6,6,12,0,12
https://www.realtor.com/realestateandhomes-detail/M1894674668?listing_status=rental,47.709468,-122.30031,10,0,3,10,14,0,5
https://www.realtor.com/realestateandhomes-detail/M1774393626?listing_status=rental,47.726632,-122.346967,20,5,7,8,9,0,4
https://www.realtor.com/realestateandhomes-detail/M9149134695?listing_status=rental,47.615429,-122.31369,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1372066293?listing_status=rental,47.61976,-122.317493,20,4,20,20,20,4,20
https://www.realtor.com/realestateandhomes-detail/M2215485032?listing_status=rental,47.584129,-122.31637,20,3,4,17,9,2,19
https://www.realtor.com/realestateandhomes-detail/M1216493059?listing_status=rental,47.602884,-122.313473,20,10,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2467439885?listing_status=rental,47.626987,-122.352379,20,1,20,20,20,4,20
https://www.realtor.com/realestateandhomes-detail/M9718657323?listing_status=rental,47.62714,-122.327057,20,0,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M9940133535?listing_status=rental,47.60029,-122.328034,20,9,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9851885706?listing_status=rental,47.658588,-122.349739,20,2,20,17,20,3,20
https://www.realtor.com/realestateandhomes-detail/M9672772380?listing_status=rental,47.645969,-122.324562,20,2,12,20,18,2,14
https://www.realtor.com/realestateandhomes-detail/M9781293836?listing_status=rental,47.654007,-122.346901,20,2,20,14,20,5,20
https://www.realtor.com/realestateandhomes-detail/M1624366874?listing_status=rental,47.69877,-122.341144,19,2,4,12,20,2,7
https://www.realtor.com/realestateandhomes-detail/M1061957309?listing_status=rental,47.567949,-122.386375,20,3,20,7,20,4,20
